Client_Num,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Zipcode,Car_Owner,House_Owner,Personal_loan,contact,Customer_Job,Income,Cust_Satisfaction_Score,,
924088631,43,F,5,High School,Unknown,CA,91750,no,yes,no,cellular,White-collar,58333,1,,"(924088631,43,'F',5,'High School','Unknown','CA',91750,'no','yes','no','cellular','White-collar',58333,11),"
950336899,47,F,3,Uneducated,Unknown,TX,91750,no,no,no,cellular,Govt,16492,2,,"(950336899,47,'F',3,'Uneducated','Unknown','TX',91750,'no','no','no','cellular','Govt',16492,22),"
925516289,39,F,3,Graduate,Unknown,TX,91750,no,yes,no,cellular,Selfemployeed,14975,1,,"(925516289,39,'F',3,'Graduate','Unknown','TX',91750,'no','yes','no','cellular','Selfemployeed',14975,11),"
943430295,51,M,1,Unknown,Married,FL,91750,no,no,no,cellular,Retirees,68986,4,,"(943430295,51,'M',1,'Unknown','Married','FL',91750,'no','no','no','cellular','Retirees',68986,44),"
915913364,41,F,5,Post-Graduate,Married,CA,91750,no,yes,no,cellular,Blue-collar,13212,2,,"(915913364,41,'F',5,'Post-Graduate','Married','CA',91750,'no','yes','no','cellular','Blue-collar',13212,22),"
966969386,43,F,3,Graduate,Married,TX,91750,no,no,yes,cellular,Selfemployeed,32183,1,,"(966969386,43,'F',3,'Graduate','Married','TX',91750,'no','no','yes','cellular','Selfemployeed',32183,11),"
913497216,47,F,2,Graduate,Single,FL,91750,no,yes,no,cellular,White-collar,31045,3,,"(913497216,47,'F',2,'Graduate','Single','FL',91750,'no','yes','no','cellular','White-collar',31045,33),"
956347577,64,F,0,High School,Single,NY,91750,yes,no,no,cellular,Selfemployeed,14198,4,,"(956347577,64,'F',0,'High School','Single','NY',91750,'yes','no','no','cellular','Selfemployeed',14198,44),"
953007255,59,F,1,High School,Single,TX,91750,yes,no,no,cellular,Selfemployeed,32287,5,,"(953007255,59,'F',1,'High School','Single','TX',91750,'yes','no','no','cellular','Selfemployeed',32287,55),"
955406656,46,M,4,Graduate,Single,NJ,91750,no,yes,no,cellular,White-collar,125955,5,,"(955406656,46,'M',4,'Graduate','Single','NJ',91750,'no','yes','no','cellular','White-collar',125955,55),"
947484249,47,M,2,Unknown,Single,FL,91750,yes,no,no,unknown,Blue-collar,84114,5,,"(947484249,47,'M',2,'Unknown','Single','FL',91750,'yes','no','no','unknown','Blue-collar',84114,55),"
941380773,64,M,0,Graduate,Married,FL,91750,yes,yes,no,cellular,Blue-collar,29987,3,,"(941380773,64,'M',0,'Graduate','Married','FL',91750,'yes','yes','no','cellular','Blue-collar',29987,33),"
931132980,53,M,2,Graduate,Married,CA,91750,no,no,no,cellular,Selfemployeed,84494,5,,"(931132980,53,'M',2,'Graduate','Married','CA',91750,'no','no','no','cellular','Selfemployeed',84494,55),"
917790215,53,M,3,High School,Single,NY,91750,no,no,no,cellular,Businessman,63867,4,,"(917790215,53,'M',3,'High School','Single','NY',91750,'no','no','no','cellular','Businessman',63867,44),"
956622169,42,F,3,Unknown,Married,CA,91750,yes,no,yes,cellular,Selfemployeed,14975,5,,"(956622169,42,'F',3,'Unknown','Married','CA',91750,'yes','no','yes','cellular','Selfemployeed',14975,55),"
951838000,53,F,3,Uneducated,Single,CA,91750,no,yes,no,cellular,Retirees,25214,1,,"(951838000,53,'F',3,'Uneducated','Single','CA',91750,'no','yes','no','cellular','Retirees',25214,11),"
945116424,54,M,4,Graduate,Married,TX,91750,no,yes,no,cellular,Businessman,169176,2,,"(945116424,54,'M',4,'Graduate','Married','TX',91750,'no','yes','no','cellular','Businessman',169176,22),"
968501827,54,M,5,High School,Married,NJ,91750,no,no,no,cellular,Govt,66027,1,,"(968501827,54,'M',5,'High School','Married','NJ',91750,'no','no','no','cellular','Govt',66027,11),"
931999941,44,M,2,Doctorate,Single,IL,91750,yes,no,no,cellular,Retirees,64739,4,,"(931999941,44,'M',2,'Doctorate','Single','IL',91750,'yes','no','no','cellular','Retirees',64739,44),"
941573611,33,F,3,Graduate,Single,NJ,91750,yes,yes,no,cellular,Selfemployeed,55187,2,,"(941573611,33,'F',3,'Graduate','Single','NJ',91750,'yes','yes','no','cellular','Selfemployeed',55187,22),"
916963751,47,M,4,Uneducated,Unknown,UT,91750,no,no,no,cellular,Selfemployeed,14975,1,,"(916963751,47,'M',4,'Uneducated','Unknown','UT',91750,'no','no','no','cellular','Selfemployeed',14975,11),"
918786049,64,M,0,Doctorate,Married,UT,91750,no,no,no,cellular,Blue-collar,49664,5,,"(918786049,64,'M',0,'Doctorate','Married','UT',91750,'no','no','no','cellular','Blue-collar',49664,55),"
913812366,33,F,2,Uneducated,Unknown,CA,91750,yes,yes,no,cellular,Retirees,36705,3,,"(913812366,33,'F',2,'Uneducated','Unknown','CA',91750,'yes','yes','no','cellular','Retirees',36705,33),"
915143266,42,F,3,Graduate,Married,CA,91750,yes,no,no,cellular,Selfemployeed,12937,4,,"(915143266,42,'F',3,'Graduate','Married','CA',91750,'yes','no','no','cellular','Selfemployeed',12937,44),"
930291935,61,F,1,High School,Single,CA,91750,no,no,no,cellular,Govt,34941,4,,"(930291935,61,'F',1,'High School','Single','CA',91750,'no','no','no','cellular','Govt',34941,44),"
915205717,46,M,2,High School,Single,TX,91750,no,yes,no,cellular,Blue-collar,25619,5,,"(915205717,46,'M',2,'High School','Single','TX',91750,'no','yes','no','cellular','Blue-collar',25619,55),"
958819124,39,F,2,Uneducated,Single,NJ,91750,yes,no,no,unknown,Retirees,22287,5,,"(958819124,39,'F',2,'Uneducated','Single','NJ',91750,'yes','no','no','unknown','Retirees',22287,55),"
952357833,47,F,2,Graduate,Married,CA,91750,yes,yes,yes,telephone,Govt,36074,4,,"(952357833,47,'F',2,'Graduate','Married','CA',91750,'yes','yes','yes','telephone','Govt',36074,44),"
916571137,49,F,3,Unknown,Single,TX,91750,no,yes,no,cellular,Selfemployeed,21265,4,,"(916571137,49,'F',3,'Unknown','Single','TX',91750,'no','yes','no','cellular','Selfemployeed',21265,44),"
949434569,65,F,1,Unknown,Married,NJ,91750,yes,no,no,cellular,Selfemployeed,162150,4,,"(949434569,65,'F',1,'Unknown','Married','NJ',91750,'yes','no','no','cellular','Selfemployeed',162150,44),"
932064980,51,F,3,Post-Graduate,Married,NY,91750,no,yes,no,cellular,Selfemployeed,181224,4,,"(932064980,51,'F',3,'Post-Graduate','Married','NY',91750,'no','yes','no','cellular','Selfemployeed',181224,44),"
945888653,48,M,3,Uneducated,Single,NY,91750,no,no,no,cellular,White-collar,131235,3,,"(945888653,48,'M',3,'Uneducated','Single','NY',91750,'no','no','no','cellular','White-collar',131235,33),"
966959006,45,F,4,Graduate,Single,CA,91750,yes,no,no,cellular,Blue-collar,13394,5,,"(966959006,45,'F',4,'Graduate','Single','CA',91750,'yes','no','no','cellular','Blue-collar',13394,55),"
940222172,28,M,0,High School,Single,TX,91750,no,yes,yes,unknown,Selfemployeed,25098,4,,"(940222172,28,'M',0,'High School','Single','TX',91750,'no','yes','yes','unknown','Selfemployeed',25098,44),"
945679996,49,F,3,Graduate,Single,TX,91750,no,yes,no,cellular,Selfemployeed,2565,5,,"(945679996,49,'F',3,'Graduate','Single','TX',91750,'no','yes','no','cellular','Selfemployeed',2565,55),"
943617000,42,M,4,High School,Married,NY,91750,no,no,yes,cellular,Govt,87966,1,,"(943617000,42,'M',4,'High School','Married','NY',91750,'no','no','yes','cellular','Govt',87966,11),"
915597750,42,M,3,Graduate,Married,NJ,91750,no,yes,yes,cellular,Blue-collar,116339,2,,"(915597750,42,'M',3,'Graduate','Married','NJ',91750,'no','yes','yes','cellular','Blue-collar',116339,22),"
922338165,31,F,0,Post-Graduate,Single,TX,91750,yes,yes,no,cellular,Retirees,59168,1,,"(922338165,31,'F',0,'Post-Graduate','Single','TX',91750,'yes','yes','no','cellular','Retirees',59168,11),"
960285137,44,F,2,High School,Single,FL,91750,yes,yes,yes,cellular,White-collar,37853,4,,"(960285137,44,'F',2,'High School','Single','FL',91750,'yes','yes','yes','cellular','White-collar',37853,44),"
925267022,55,M,0,Doctorate,Married,SC,91750,no,yes,no,cellular,Businessman,69577,2,,"(925267022,55,'M',0,'Doctorate','Married','SC',91750,'no','yes','no','cellular','Businessman',69577,22),"
911841712,56,F,3,Graduate,Single,CA,91750,no,no,no,unknown,Selfemployeed,188250,1,,"(911841712,56,'F',3,'Graduate','Single','CA',91750,'no','no','no','unknown','Selfemployeed',188250,11),"
964700464,55,M,3,Graduate,Single,FL,91750,yes,no,no,unknown,White-collar,141448,4,,"(964700464,55,'M',3,'Graduate','Single','FL',91750,'yes','no','no','unknown','White-collar',141448,44),"
936122170,38,F,4,Graduate,Single,FL,91750,no,no,no,cellular,Blue-collar,16053,5,,"(936122170,38,'F',4,'Graduate','Single','FL',91750,'no','no','no','cellular','Blue-collar',16053,55),"
923514448,44,M,1,Graduate,Married,TX,91750,no,yes,no,cellular,Businessman,91373,5,,"(923514448,44,'M',1,'Graduate','Married','TX',91750,'no','yes','no','cellular','Businessman',91373,55),"
926012720,34,F,1,Graduate,Single,UT,91750,yes,yes,yes,unknown,Selfemployeed,14196,5,,"(926012720,34,'F',1,'Graduate','Single','UT',91750,'yes','yes','yes','unknown','Selfemployeed',14196,55),"
941519974,45,F,4,Uneducated,Single,TX,91750,no,yes,no,cellular,Selfemployeed,14975,5,,"(941519974,45,'F',4,'Uneducated','Single','TX',91750,'no','yes','no','cellular','Selfemployeed',14975,55),"
916567210,43,M,1,High School,Single,TX,91750,no,no,yes,cellular,Businessman,61205,4,,"(916567210,43,'M',1,'High School','Single','TX',91750,'no','no','yes','cellular','Businessman',61205,44),"
944464634,35,M,2,Unknown,Married,CA,91615,yes,no,no,cellular,Businessman,214273,5,,"(944464634,35,'M',2,'Unknown','Married','CA',91615,'yes','no','no','cellular','Businessman',214273,55),"
952224747,50,F,1,Graduate,Married,CA,91750,no,no,no,unknown,Selfemployeed,14975,5,,"(952224747,50,'F',1,'Graduate','Married','CA',91750,'no','no','no','unknown','Selfemployeed',14975,55),"
925793959,43,F,2,Graduate,Married,CA,91750,no,no,no,cellular,Selfemployeed,31499,5,,"(925793959,43,'F',2,'Graduate','Married','CA',91750,'no','no','no','cellular','Selfemployeed',31499,55),"
967293518,36,M,2,Graduate,Unknown,CT,91750,yes,no,no,telephone,Businessman,90657,4,,"(967293518,36,'M',2,'Graduate','Unknown','CT',91750,'yes','no','no','telephone','Businessman',90657,44),"
955565234,56,F,1,High School,Married,WA,53010,no,no,yes,cellular,Selfemployeed,19250,5,,"(955565234,56,'F',1,'High School','Married','WA',53010,'no','no','yes','cellular','Selfemployeed',19250,55),"
918805142,42,F,4,High School,Single,CA,91750,no,no,no,cellular,Govt,33147,4,,"(918805142,42,'F',4,'High School','Single','CA',91750,'no','no','no','cellular','Govt',33147,44),"
925079819,54,F,2,Uneducated,Single,NY,91750,yes,no,no,unknown,Govt,19367,3,,"(925079819,54,'F',2,'Uneducated','Single','NY',91750,'yes','no','no','unknown','Govt',19367,33),"
915620067,34,F,3,Graduate,Married,NY,91750,no,no,yes,cellular,Selfemployeed,38928,1,,"(915620067,34,'F',3,'Graduate','Married','NY',91750,'no','no','yes','cellular','Selfemployeed',38928,11),"
928594927,52,M,3,Graduate,Married,CA,91750,yes,no,no,cellular,Businessman,107387,2,,"(928594927,52,'M',3,'Graduate','Married','CA',91750,'yes','no','no','cellular','Businessman',107387,22),"
924230663,63,F,1,High School,Married,CA,91750,no,no,no,cellular,Selfemployeed,14975,1,,"(924230663,63,'F',1,'High School','Married','CA',91750,'no','no','no','cellular','Selfemployeed',14975,11),"
967647198,27,M,1,High School,Single,FL,91750,no,no,no,cellular,Selfemployeed,76456,4,,"(967647198,27,'M',1,'High School','Single','FL',91750,'no','no','no','cellular','Selfemployeed',76456,44),"
916404493,40,M,4,Graduate,Single,TX,91750,no,yes,no,cellular,Retirees,53971,2,,"(916404493,40,'M',4,'Graduate','Single','TX',91750,'no','yes','no','cellular','Retirees',53971,22),"
951324437,27,F,1,High School,Married,TX,91750,no,no,no,unknown,Selfemployeed,6550,1,,"(951324437,27,'F',1,'High School','Married','TX',91750,'no','no','no','unknown','Selfemployeed',6550,11),"
948632519,54,M,3,Graduate,Unknown,FL,91750,yes,yes,yes,unknown,White-collar,102076,3,,"(948632519,54,'M',3,'Graduate','Unknown','FL',91750,'yes','yes','yes','unknown','White-collar',102076,33),"
935734897,37,M,2,Graduate,Single,NY,91750,no,no,no,cellular,White-collar,69382,3,,"(935734897,37,'M',2,'Graduate','Single','NY',91750,'no','no','no','cellular','White-collar',69382,33),"
927629610,59,F,0,Unknown,Married,CA,91750,no,yes,no,cellular,Govt,27562,5,,"(927629610,59,'F',0,'Unknown','Married','CA',91750,'no','yes','no','cellular','Govt',27562,55),"
957268333,52,F,3,Post-Graduate,Married,CA,91750,no,yes,yes,cellular,Blue-collar,43634,5,,"(957268333,52,'F',3,'Post-Graduate','Married','CA',91750,'no','yes','yes','cellular','Blue-collar',43634,55),"
951939025,37,F,0,Unknown,Married,NY,91750,yes,no,no,telephone,Businessman,15553,5,,"(951939025,37,'F',0,'Unknown','Married','NY',91750,'yes','no','no','telephone','Businessman',15553,55),"
912062417,53,M,0,Graduate,Single,NY,91750,yes,no,no,cellular,Businessman,98743,4,,"(912062417,53,'M',0,'Graduate','Single','NY',91750,'yes','no','no','cellular','Businessman',98743,44),"
931204683,50,F,1,Graduate,Single,MN,91750,no,no,no,cellular,Selfemployeed,10425,5,,"(931204683,50,'F',1,'Graduate','Single','MN',91750,'no','no','no','cellular','Selfemployeed',10425,55),"
955413495,46,F,2,High School,Unknown,FL,91750,yes,yes,no,telephone,Govt,20428,3,,"(955413495,46,'F',2,'High School','Unknown','FL',91750,'yes','yes','no','telephone','Govt',20428,33),"
926366819,51,F,0,Unknown,Married,NJ,91750,no,no,no,cellular,Govt,18977,5,,"(926366819,51,'F',0,'Unknown','Married','NJ',91750,'no','no','no','cellular','Govt',18977,55),"
946988891,54,F,5,Unknown,Married,NY,91750,no,yes,no,cellular,Retirees,25060,1,,"(946988891,54,'F',5,'Unknown','Married','NY',91750,'no','yes','no','cellular','Retirees',25060,11),"
932566259,53,M,4,Graduate,Married,TX,91750,no,no,no,cellular,Businessman,182464,2,,"(932566259,53,'M',4,'Graduate','Married','TX',91750,'no','no','no','cellular','Businessman',182464,22),"
931860481,46,M,4,Graduate,Single,NY,91750,no,no,yes,cellular,Businessman,68413,1,,"(931860481,46,'M',4,'Graduate','Single','NY',91750,'no','no','yes','cellular','Businessman',68413,11),"
929882675,53,F,1,Unknown,Unknown,TX,91750,yes,no,no,cellular,Blue-collar,25533,4,,"(929882675,53,'F',1,'Unknown','Unknown','TX',91750,'yes','no','no','cellular','Blue-collar',25533,44),"
943527510,40,F,2,Unknown,Married,FL,91750,no,yes,no,unknown,Govt,39889,2,,"(943527510,40,'F',2,'Unknown','Married','FL',91750,'no','yes','no','unknown','Govt',39889,22),"
916639558,58,F,0,High School,Single,TX,91750,yes,no,no,unknown,Retirees,29513,1,,"(916639558,58,'F',0,'High School','Single','TX',91750,'yes','no','no','unknown','Retirees',29513,11),"
952877527,42,F,4,Uneducated,Single,TX,91750,no,yes,no,telephone,Selfemployeed,92565,5,,"(952877527,42,'F',4,'Uneducated','Single','TX',91750,'no','yes','no','telephone','Selfemployeed',92565,55),"
965133642,40,M,3,Unknown,Married,CA,91750,no,no,no,cellular,Govt,71574,3,,"(965133642,40,'M',3,'Unknown','Married','CA',91750,'no','no','no','cellular','Govt',71574,33),"
943332935,50,M,2,Post-Graduate,Single,TX,91750,no,yes,no,cellular,Selfemployeed,42529,5,,"(943332935,50,'M',2,'Post-Graduate','Single','TX',91750,'no','yes','no','cellular','Selfemployeed',42529,55),"
911356906,39,M,2,Uneducated,Single,NY,91750,no,yes,no,cellular,Govt,75342,3,,"(911356906,39,'M',2,'Uneducated','Single','NY',91750,'no','yes','no','cellular','Govt',75342,33),"
914100961,60,M,2,Graduate,Married,NJ,91750,yes,yes,no,cellular,Businessman,69112,5,,"(914100961,60,'M',2,'Graduate','Married','NJ',91750,'yes','yes','no','cellular','Businessman',69112,55),"
928202998,57,F,3,Unknown,Single,FL,91750,yes,no,no,unknown,White-collar,25381,5,,"(928202998,57,'F',3,'Unknown','Single','FL',91750,'yes','no','no','unknown','White-collar',25381,55),"
927325578,43,F,4,Graduate,Single,CA,91750,no,no,no,telephone,Selfemployeed,14975,3,,"(927325578,43,'F',4,'Graduate','Single','CA',91750,'no','no','no','telephone','Selfemployeed',14975,33),"
967889522,51,F,3,Graduate,Single,CA,91750,yes,yes,yes,cellular,Blue-collar,43601,4,,"(967889522,51,'F',3,'Graduate','Single','CA',91750,'yes','yes','yes','cellular','Blue-collar',43601,44),"
957165213,46,M,3,Unknown,Married,TX,91750,yes,yes,no,cellular,Govt,86242,4,,"(957165213,46,'M',3,'Unknown','Married','TX',91750,'yes','yes','no','cellular','Govt',86242,44),"
942626947,40,M,3,Graduate,Married,CA,91750,no,yes,no,cellular,Blue-collar,93722,4,,"(942626947,40,'M',3,'Graduate','Married','CA',91750,'no','yes','no','cellular','Blue-collar',93722,44),"
953470068,56,M,2,Unknown,Single,CA,91750,yes,no,no,cellular,Govt,46277,3,,"(953470068,56,'M',2,'Unknown','Single','CA',91750,'yes','no','no','cellular','Govt',46277,33),"
922719672,51,M,2,Uneducated,Single,NY,91750,no,no,no,cellular,Businessman,213177,1,,"(922719672,51,'M',2,'Uneducated','Single','NY',91750,'no','no','no','cellular','Businessman',213177,11),"
931891072,30,F,1,Graduate,Single,TX,91750,no,yes,no,unknown,Businessman,28914,2,,"(931891072,30,'F',1,'Graduate','Single','TX',91750,'no','yes','no','unknown','Businessman',28914,22),"
946247323,48,F,2,Graduate,Married,CA,91750,no,yes,no,cellular,Selfemployeed,50462,1,,"(946247323,48,'F',2,'Graduate','Married','CA',91750,'no','yes','no','cellular','Selfemployeed',50462,11),"
930197610,46,F,4,Unknown,Single,TX,91750,no,yes,no,telephone,Selfemployeed,19725,4,,"(930197610,46,'F',4,'Unknown','Single','TX',91750,'no','yes','no','telephone','Selfemployeed',19725,44),"
949774711,44,F,4,Unknown,Single,NY,91750,no,yes,yes,cellular,Businessman,22353,2,,"(949774711,44,'F',4,'Unknown','Single','NY',91750,'no','yes','yes','cellular','Businessman',22353,22),"
943826301,37,M,2,High School,Unknown,NY,91750,no,no,no,cellular,Businessman,181915,1,,"(943826301,37,'M',2,'High School','Unknown','NY',91750,'no','no','no','cellular','Businessman',181915,11),"
940281207,34,F,1,Graduate,Single,NY,91750,no,yes,no,unknown,Selfemployeed,14975,4,,"(940281207,34,'F',1,'Graduate','Single','NY',91750,'no','yes','no','unknown','Selfemployeed',14975,44),"
917125667,30,M,1,Graduate,Single,CA,91750,no,yes,no,cellular,Retirees,64991,4,,"(917125667,30,'M',1,'Graduate','Single','CA',91750,'no','yes','no','cellular','Retirees',64991,44),"
943190439,47,M,2,Graduate,Married,TX,91750,yes,yes,no,telephone,Selfemployeed,62659,3,,"(943190439,47,'M',2,'Graduate','Married','TX',91750,'yes','yes','no','telephone','Selfemployeed',62659,33),"
922320730,39,M,5,Unknown,Married,NY,91750,yes,no,no,cellular,Govt,91460,3,,"(922320730,39,'M',5,'Unknown','Married','NY',91750,'yes','no','no','cellular','Govt',91460,33),"
929595858,45,F,2,Graduate,Single,CA,91750,yes,no,no,cellular,Selfemployeed,34412,4,,"(929595858,45,'F',2,'Graduate','Single','CA',91750,'yes','no','no','cellular','Selfemployeed',34412,44),"
959893136,40,F,5,High School,Married,CA,91750,no,yes,no,unknown,Retirees,20517,4,,"(959893136,40,'F',5,'High School','Married','CA',91750,'no','yes','no','unknown','Retirees',20517,44),"
914645436,44,F,3,Graduate,Married,TX,91750,no,yes,no,cellular,Govt,515324,3,,"(914645436,44,'F',3,'Graduate','Married','TX',91750,'no','yes','no','cellular','Govt',515324,33),"
955643267,49,M,5,Graduate,Married,TX,91750,yes,yes,no,cellular,Blue-collar,79307,5,,"(955643267,49,'M',5,'Graduate','Married','TX',91750,'yes','yes','no','cellular','Blue-collar',79307,55),"
930834378,54,F,2,Graduate,Married,TX,91750,yes,no,no,unknown,Selfemployeed,154975,5,,"(930834378,54,'F',2,'Graduate','Married','TX',91750,'yes','no','no','unknown','Selfemployeed',154975,55),"
941473935,57,M,3,High School,Married,NY,91750,yes,no,no,unknown,White-collar,148310,4,,"(941473935,57,'M',3,'High School','Married','NY',91750,'yes','no','no','unknown','White-collar',148310,44),"
915493311,49,F,4,Doctorate,Married,NY,91750,no,no,no,telephone,Selfemployeed,14975,5,,"(915493311,49,'F',4,'Doctorate','Married','NY',91750,'no','no','no','telephone','Selfemployeed',14975,55),"
968936158,55,F,2,Graduate,Married,FL,91750,no,no,no,cellular,White-collar,20859,4,,"(968936158,55,'F',2,'Graduate','Married','FL',91750,'no','no','no','cellular','White-collar',20859,44),"
933392675,33,M,3,High School,Married,FL,91750,no,no,no,cellular,Businessman,232857,4,,"(933392675,33,'M',3,'High School','Married','FL',91750,'no','no','no','cellular','Businessman',232857,44),"
928419817,33,M,4,Uneducated,Married,NY,91750,yes,yes,no,unknown,Govt,106036,4,,"(928419817,33,'M',4,'Uneducated','Married','NY',91750,'yes','yes','no','unknown','Govt',106036,44),"
915483449,53,F,2,Unknown,Single,TX,91750,no,no,no,cellular,Retirees,28815,5,,"(915483449,53,'F',2,'Unknown','Single','TX',91750,'no','no','no','cellular','Retirees',28815,55),"
946714401,27,F,1,Uneducated,Unknown,NY,91750,no,no,no,unknown,Blue-collar,12519,5,,"(946714401,27,'F',1,'Uneducated','Unknown','NY',91750,'no','no','no','unknown','Blue-collar',12519,55),"
956874871,38,F,2,Unknown,Single,NV,91750,yes,yes,no,unknown,Blue-collar,36543,1,,"(956874871,38,'F',2,'Unknown','Single','NV',91750,'yes','yes','no','unknown','Blue-collar',36543,11),"
958764892,41,F,2,Unknown,Single,TX,91750,yes,yes,no,cellular,Govt,24181,2,,"(958764892,41,'F',2,'Unknown','Single','TX',91750,'yes','yes','no','cellular','Govt',24181,22),"
934634748,48,F,3,Doctorate,Married,CA,91750,no,no,no,unknown,Selfemployeed,14975,1,,"(934634748,48,'F',3,'Doctorate','Married','CA',91750,'no','no','no','unknown','Selfemployeed',14975,11),"
912083085,52,F,1,Graduate,Married,NY,91750,no,no,no,cellular,White-collar,35247,4,,"(912083085,52,'F',1,'Graduate','Married','NY',91750,'no','no','no','cellular','White-collar',35247,44),"
911365112,59,M,1,Uneducated,Single,FL,91750,no,yes,no,cellular,Govt,55730,2,,"(911365112,59,'M',1,'Uneducated','Single','FL',91750,'no','yes','no','cellular','Govt',55730,22),"
953753052,49,F,4,High School,Unknown,NY,91750,yes,yes,no,cellular,Retirees,54460,1,,"(953753052,49,'F',4,'High School','Unknown','NY',91750,'yes','yes','no','cellular','Retirees',54460,11),"
958974616,50,M,3,Unknown,Single,CA,91750,yes,yes,yes,cellular,White-collar,44934,4,,"(958974616,50,'M',3,'Unknown','Single','CA',91750,'yes','yes','yes','cellular','White-collar',44934,44),"
950813526,55,M,1,Uneducated,Single,NY,91750,no,no,no,telephone,Govt,78354,5,,"(950813526,55,'M',1,'Uneducated','Single','NY',91750,'no','no','no','telephone','Govt',78354,55),"
942716217,43,M,5,Unknown,Married,NY,91750,no,yes,no,cellular,White-collar,71289,3,,"(942716217,43,'M',5,'Unknown','Married','NY',91750,'no','yes','no','cellular','White-collar',71289,33),"
916095724,56,M,1,Graduate,Married,NY,91750,yes,no,no,cellular,Businessman,102444,5,,"(916095724,56,'M',1,'Graduate','Married','NY',91750,'yes','no','no','cellular','Businessman',102444,55),"
